Species,n1,n2,n,Mean,Var,upper.area,lower.area,SI,AR,scan.length,scan.width,scan.area,scan.perimeter,FM,DM,Genus,LatinName
1,835,816,1875,0.001329969,1.13e-06,8.971436139,10.22724776,0.099441362,0.877209231,12.09046433,2.258343713,19.19868386,26.86968135,0.1224,0.0474,Bambusa,Bambusa emeiensis 
1,516,647,1268,0.00029097,7.88e-08,5.428045838,5.348959848,0.048681381,1.014785303,8.485728016,1.863497624,10.77700568,19.33875828,0.0717,0.0276,Bambusa,Bambusa emeiensis 
1,942,986,1981,0.001036312,2.57e-07,9.405633169,10.43443424,0.09427008,0.901403272,13.32585092,2.059110458,19.84006738,29.6073587,0.1324,0.0544,Bambusa,Bambusa emeiensis 
1,864,881,1869,0.001465863,9.72e-07,8.614761982,10.07580733,0.124248297,0.854994712,12.30483417,2.129034927,18.69056928,27.38222278,0.1237,0.0499,Bambusa,Bambusa emeiensis 
1,978,989,2117,0.002239775,2.91e-06,11.05984321,8.89126447,0.11552071,1.243899925,13.94747031,1.972925737,19.95110749,30.78334671,0.1382,0.0517,Bambusa,Bambusa emeiensis 
1,1230,1062,2381,0.002801648,1.17e-06,16.48365304,13.69316024,0.195311209,1.203787347,15.6984974,2.743753023,30.17681325,34.849267,0.2105,0.0823,Bambusa,Bambusa emeiensis 
1,639,678,1553,0.001557665,6.18e-07,6.339619439,7.8962246,0.145642053,0.802867162,10.6174744,1.88038556,14.23584397,23.59977138,0.0866,0.0323,Bambusa,Bambusa emeiensis 
1,488,519,1172,0.000606316,2.03e-07,5.79536914,5.204426634,0.066264368,1.113546131,7.738564111,2.118092184,10.99979574,18.05574034,0.0771,0.029,Bambusa,Bambusa emeiensis 
1,697,679,1509,0.00108445,5.61e-07,7.008137974,6.064264747,0.108772445,1.155645122,10.1151403,1.863080665,13.07240267,22.65400976,0.081,0.0309,Bambusa,Bambusa emeiensis 
1,817,857,1735,0.000750927,1.13e-07,8.509627695,9.132528723,0.083119552,0.931793149,11.62289902,2.138565296,17.64215639,26.00511077,0.1138,0.0445,Bambusa,Bambusa emeiensis 
1,1036,1173,2271,0.002719774,1.45e-06,11.88196625,14.59556164,0.164807414,0.814080783,15.3825909,2.355255007,26.47752779,34.00994253,0.1841,0.0688,Bambusa,Bambusa emeiensis 
1,888,883,2072,0.001182994,7.53e-07,9.834756133,10.54395836,0.070032419,0.932738521,13.6673798,2.085174035,20.37871445,30.22733941,0.1303,0.0483,Bambusa,Bambusa emeiensis 
1,610,563,1496,0.000963314,1.06e-07,6.573677387,5.943363302,0.136960897,1.106053434,9.773209825,1.88705749,12.51704067,22.02383005,0.09,0.0367,Bambusa,Bambusa emeiensis 
1,865,885,1788,0.001356681,1.18e-06,8.729744506,7.487793273,0.087689172,1.165863451,11.9729225,1.968425071,16.21753775,26.66833505,0.1161,0.0441,Bambusa,Bambusa emeiensis 
1,755,816,1639,0.003086449,2.64e-06,9.871330318,6.785867206,0.231114553,1.45468958,11.55887093,2.039927442,16.65719749,25.72403893,0.1107,0.042,Bambusa,Bambusa emeiensis 
1,825,811,1889,0.002513254,2.72e-06,8.700622992,11.21363695,0.156093205,0.775896618,13.16873519,2.101230278,19.91425987,29.19454429,0.1312,0.0512,Bambusa,Bambusa emeiensis 
1,726,728,1590,0.000905914,4.16e-07,7.208712105,6.329631,0.091322698,1.138883468,10.78902965,1.779933647,13.53834309,24.03184408,0.0831,0.0315,Bambusa,Bambusa emeiensis 
1,813,807,1832,0.000844692,4.07e-07,9.261796088,9.613513202,0.069586644,0.9634143,12.40441121,2.104145737,18.87530921,27.62716321,0.1318,0.055,Bambusa,Bambusa emeiensis 
1,549,591,1188,0.000375035,1.05e-07,4.791429594,4.469569682,0.074015909,1.072011387,7.901737199,1.762645017,9.260999239,18.03994592,0.0631,0.0245,Bambusa,Bambusa emeiensis 
1,510,484,1094,0.00173648,5.64e-07,4.642973616,2.909008784,0.229582677,1.596067238,7.178695933,1.527344362,7.551982368,16.40860049,0.0483,0.0175,Bambusa,Bambusa emeiensis 
1,1020,1045,2154,0.001191225,5.55e-07,13.50940287,13.62567896,0.081294948,0.9914664,14.6554145,2.603686524,27.13508168,32.69692395,0.1866,0.0722,Bambusa,Bambusa emeiensis 
1,937,961,1938,0.002001656,9.97e-07,8.60756345,10.60907488,0.135174511,0.811339683,12.73046487,2.123833073,19.2166383,28.2235067,0.1274,0.0478,Bambusa,Bambusa emeiensis 
1,1135,1143,2298,0.001494141,1.68e-06,12.73788425,11.53245959,0.097924039,1.104524508,15.24234406,2.209808886,24.27034364,33.54581793,0.1829,0.0729,Bambusa,Bambusa emeiensis 
1,713,598,1746,0.000731394,2.89e-07,8.18493285,8.169085992,0.077082801,1.001939857,11.44537098,2.104948624,16.35401873,25.64718643,0.1086,0.0423,Bambusa,Bambusa emeiensis 
1,882,1116,2043,0.002525296,1.2e-06,9.932646858,12.4573859,0.221326838,0.797329948,13.45913994,2.326857772,22.39003273,30.11631063,0.1556,0.0649,Bambusa,Bambusa emeiensis 
1,923,951,1928,0.001031613,4.56e-07,8.820933405,9.687590303,0.083845432,0.910539477,12.96730501,1.98853817,18.50852368,28.61057923,0.1273,0.0496,Bambusa,Bambusa emeiensis 
1,872,878,1828,0.001393549,1.33e-06,9.618338679,8.433696398,0.093215742,1.14046537,12.52119967,2.041789371,18.05203497,27.80402269,0.1118,0.0399,Bambusa,Bambusa emeiensis 
1,838,849,1729,0.000795502,3.82e-07,8.1875775,7.96540615,0.061980365,1.02789203,11.73254827,1.956939395,16.15298362,26.10547922,0.1067,0.0401,Bambusa,Bambusa emeiensis 
1,690,970,1730,0.002961101,9.33e-07,7.968814889,10.92991372,0.298733701,0.729083056,11.44592307,2.456004681,18.89872857,26.08829374,0.128,0.0486,Bambusa,Bambusa emeiensis 
1,950,774,1888,0.003446832,5.57e-07,11.03260894,7.587869904,0.284593322,1.453979717,12.46349764,2.075894948,18.62047867,27.89194658,0.141,0.0568,Bambusa,Bambusa emeiensis 
1,876,867,2100,0.00075573,6.13e-07,11.86691237,11.14083573,0.042739946,1.065172547,13.81323817,2.22310378,23.00774807,30.52647748,0.1491,0.0592,Bambusa,Bambusa emeiensis 
1,746,779,1546,0.000918925,3.65e-07,6.105419819,7.00657209,0.126052882,0.871384714,10.1341363,1.856740909,13.11199189,22.62110779,0.0833,0.0331,Bambusa,Bambusa emeiensis 
1,965,996,1998,0.001660986,1.14e-06,10.74759751,9.087455494,0.129584326,1.182685022,13.63307262,2.061754873,19.83505291,30.13977318,0.1369,0.0586,Bambusa,Bambusa emeiensis 
1,802,767,1715,0.001337905,1.61e-06,8.436378217,7.576388784,0.094797218,1.113509148,11.7411235,1.946622663,16.01276697,26.1861284,0.1186,0.0463,Bambusa,Bambusa emeiensis 
1,936,969,2067,0.001824825,1.61e-06,9.470957643,8.571257025,0.126588914,1.104967173,13.43282568,1.901480637,18.04221465,29.22111208,0.1168,0.0429,Bambusa,Bambusa emeiensis 
1,933,959,1959,0.000760588,2.08e-07,9.462138766,9.43700178,0.061233241,1.002663662,13.18922511,2.047505859,18.89914047,29.20066341,0.1266,0.051,Bambusa,Bambusa emeiensis 
1,1083,1117,2267,0.002401233,4.43e-06,13.94884756,12.65257984,0.113746345,1.102450863,15.93001293,2.335026952,26.60142737,35.0167211,0.1753,0.0657,Bambusa,Bambusa emeiensis 
1,909,959,1880,0.000946797,9.43e-07,7.65819464,8.50764108,0.077354954,0.90015488,12.29766073,1.777619096,16.1658357,27.16296394,0.107,0.0434,Bambusa,Bambusa emeiensis 
1,717,723,1499,0.00077616,3.98e-07,6.762272759,6.022290586,0.088215611,1.122873874,10.09287754,1.776486769,12.78456329,22.59769679,0.0812,0.0327,Bambusa,Bambusa emeiensis 
1,557,647,1309,0.000652522,1.95e-07,5.533693787,4.922024127,0.085946317,1.124271975,8.930669504,1.647534539,10.4557179,20.09964056,0.0675,0.0262,Bambusa,Bambusa emeiensis 
1,832,824,2065,0.001402442,7.86e-07,11.53486381,10.49510887,0.099188075,1.09907043,13.73042391,2.225549226,22.02997253,30.49156783,0.1444,0.0562,Bambusa,Bambusa emeiensis 
1,688,659,1526,0.000552805,2.49e-07,5.881850388,5.848733876,0.063315941,1.005662168,10.12311487,1.652046951,11.73058425,22.37860483,0.0694,0.024,Bambusa,Bambusa emeiensis 
1,550,598,1199,0.00051416,1.37e-07,4.323557876,4.67972283,0.067430512,0.92389187,7.795789944,1.703848413,9.003280664,17.76747977,0.0619,0.0235,Bambusa,Bambusa emeiensis 
1,956,936,2034,0.001535614,1.45e-06,10.93055872,9.471961156,0.097175697,1.153991084,14.04517535,1.978636898,20.40251985,30.98348977,0.1305,0.0507,Bambusa,Bambusa emeiensis 
1,612,643,1336,0.00031633,9.59e-08,5.427048692,5.459930792,0.055073498,0.993977561,9.112510659,1.690981929,10.88697947,20.47924658,0.0722,0.0288,Bambusa,Bambusa emeiensis 
1,678,656,1451,0.000679579,1.52e-07,5.740409123,6.074648798,0.078863593,0.944977943,9.502194539,1.791969027,11.81505791,21.35208536,0.0773,0.0308,Bambusa,Bambusa emeiensis 
1,999,1005,2092,0.001899651,3.23e-06,11.97329817,10.21193308,0.087094836,1.172481064,14.4014734,2.188847826,22.18523122,31.9343926,0.1504,0.0565,Bambusa,Bambusa emeiensis 
1,783,755,1790,0.001057,1.12e-06,7.7470416,6.862752816,0.086764251,1.128853364,12.12280137,1.668074201,14.60979439,26.83109359,0.1009,0.0415,Bambusa,Bambusa emeiensis 
1,911,921,1973,0.00119908,1.03e-06,10.64861804,10.18817338,0.072554806,1.045194034,13.25210943,2.238898615,20.83679128,29.56776744,0.1566,0.0608,Bambusa,Bambusa emeiensis 
1,742,737,1575,0.001103954,6.87e-07,7.71463759,6.844746734,0.114854842,1.12708883,10.5905472,1.970020899,14.55938427,23.80718587,0.0975,0.039,Bambusa,Bambusa emeiensis 
1,658,724,1451,0.00066085,2e-07,7.131445288,6.793139724,0.071647734,1.049801061,10.81866491,1.781623356,13.92458499,23.80197782,0.0949,0.0379,Bambusa,Bambusa emeiensis 
1,996,991,2126,0.001376037,1.08e-06,13.07402539,11.98556687,0.084907772,1.090814104,14.38447769,2.434373711,25.05959224,31.85805879,0.1753,0.0711,Bambusa,Bambusa emeiensis 
1,839,856,1767,0.002278747,1.12e-06,8.708841968,6.430094742,0.167724157,1.354387815,12.02014732,1.742929583,15.13893656,26.61961725,0.1054,0.0442,Bambusa,Bambusa emeiensis 
1,939,977,1938,0.001003956,1.04e-06,8.117607336,8.995616049,0.103249049,0.902395933,12.91334659,1.833173924,17.11322336,28.51915064,0.1174,0.0469,Bambusa,Bambusa emeiensis 
1,1030,1011,2416,0.00167415,2.41e-06,13.93961442,15.41898432,0.089396358,0.904055295,15.807329,2.651329281,29.35859856,35.08462616,0.2099,0.0782,Bambusa,Bambusa emeiensis 
1,771,836,1636,0.001778355,1.07e-06,6.320518949,8.09431947,0.148119448,0.780858597,11.10247711,1.812876748,14.4148384,24.72682644,0.0892,0.0346,Bambusa,Bambusa emeiensis 
1,710,649,1576,0.00073241,1.68e-07,6.72150607,6.610999878,0.081906485,1.016715503,10.38560304,1.849093744,13.33250588,23.35282182,0.0885,0.0355,Bambusa,Bambusa emeiensis 
1,767,954,1832,0.003017613,4.64e-07,7.345029007,10.36221657,0.266627196,0.708827977,12.11798463,2.08597842,17.70724541,26.97468442,0.1069,0.0431,Bambusa,Bambusa emeiensis 
1,750,761,1604,0.001106457,4.43e-07,6.059463156,7.127141741,0.102356785,0.850195405,10.5608403,1.719398705,13.18660484,23.57937659,0.0856,0.0338,Bambusa,Bambusa emeiensis 
1,853,844,1793,0.000983883,5.54e-07,7.374445411,8.071560472,0.075672371,0.913633174,11.81839863,1.853053409,15.44600586,26.14313351,0.0944,0.0348,Bambusa,Bambusa emeiensis 
1,906,878,1901,0.000698662,2.99e-07,10.03635623,9.616724378,0.071276298,1.043635633,12.60720093,2.149990217,19.65308058,28.0653746,0.1329,0.0563,Bambusa,Bambusa emeiensis 
1,811,859,1726,0.001324295,1.18e-06,6.906771104,8.231066341,0.126559954,0.839110125,11.98752207,1.781930785,15.13783742,26.42816269,0.0966,0.035,Bambusa,Bambusa emeiensis 
1,932,984,2236,0.000827657,6.62e-07,11.61444779,11.81555553,0.074988475,0.98297941,14.93419719,2.215767373,23.43000329,32.95701363,0.1668,0.0666,Bambusa,Bambusa emeiensis 
1,1005,1059,2102,0.000381661,1.28e-07,11.10198526,10.9951151,0.054329588,1.009719785,14.21260654,2.120647993,22.09710035,31.37812844,0.1554,0.0653,Bambusa,Bambusa emeiensis 
1,738,694,1666,0.001329356,1.29e-06,8.465963896,7.227328543,0.098264501,1.171382184,11.4244988,1.979987089,15.69329237,25.45979316,0.1003,0.0378,Bambusa,Bambusa emeiensis 
1,935,980,1973,0.000889608,3.63e-07,9.701781807,10.31628954,0.071468358,0.94043326,13.3072746,2.093951182,20.01807132,29.53165126,0.1375,0.0576,Bambusa,Bambusa emeiensis 
1,792,844,1667,0.001213307,5.32e-07,7.207703102,8.305074105,0.130904751,0.867867404,10.94510947,1.999564336,15.51277708,24.3103532,0.0979,0.0375,Bambusa,Bambusa emeiensis 
1,850,854,1936,0.000894168,2.83e-07,10.25514802,10.20485149,0.075377199,1.004928688,12.85447742,2.210848669,20.45999937,28.6501616,0.1373,0.0542,Bambusa,Bambusa emeiensis 
1,802,847,1725,0.001003344,3.05e-07,8.616295185,9.611122863,0.092277209,0.896492044,11.36784363,2.359004195,18.22741801,25.82399297,0.1232,0.0469,Bambusa,Bambusa emeiensis 
1,577,599,1189,0.000784089,4.03e-07,4.492526037,3.879394386,0.093278653,1.158048291,8.004170114,1.509823312,8.37192039,18.14946961,0.0546,0.0216,Bambusa,Bambusa emeiensis 
1,768,785,1781,0.001656372,9.31e-07,7.727837605,9.380829742,0.117804721,0.823790413,11.47094822,2.054375799,17.1086672,25.36545822,0.1072,0.0406,Bambusa,Bambusa emeiensis 
1,850,926,1842,0.000683171,3.02e-07,9.325823157,9.883160378,0.065244848,0.943607389,12.4102403,2.20141876,19.2089835,27.74338052,0.123,0.0492,Bambusa,Bambusa emeiensis 
1,1021,1028,2110,0.003022461,2e-06,12.34261822,9.321024273,0.178223496,1.324169732,14.33280236,2.120662695,21.66364246,31.70567384,0.1566,0.0637,Bambusa,Bambusa emeiensis 
1,876,981,1945,0.002270797,2.21e-06,10.40262867,12.67077907,0.134212569,0.820993611,13.27106825,2.516653715,23.07340761,29.73492016,0.1683,0.0645,Bambusa,Bambusa emeiensis 
1,921,940,2175,0.00121993,5.4e-07,11.44601361,10.23257101,0.086716219,1.118586287,14.19769835,2.115394254,21.6785846,31.19486173,0.1445,0.0549,Bambusa,Bambusa emeiensis 
1,850,835,2044,0.001659284,1.63e-06,9.553909561,11.14584824,0.105419604,0.857172048,13.46758201,2.165473929,20.69975777,29.95880936,0.1396,0.0518,Bambusa,Bambusa emeiensis 
1,691,809,1719,0.001593058,2.25e-07,7.899684498,9.492742575,0.161745107,0.832181473,12.11805128,2.044476657,17.392427,27.03126346,0.1314,0.0501,Bambusa,Bambusa emeiensis 
1,894,927,1876,0.000644663,2.06e-07,8.696419608,8.519282928,0.080841656,1.02079244,12.82702073,1.84979292,17.21570236,28.37363369,0.1165,0.0458,Bambusa,Bambusa emeiensis 
1,684,742,1460,0.000795719,4.07e-07,5.980247004,6.752134268,0.085681013,0.885682477,9.447792348,1.944546016,12.73238122,21.26061735,0.0882,0.035,Bambusa,Bambusa emeiensis 
1,1053,1022,2146,0.001258703,8.15e-07,11.83756513,11.03355938,0.075507205,1.072869118,14.52988735,2.203767676,22.87112448,32.03054283,0.1629,0.0654,Bambusa,Bambusa emeiensis 
1,828,818,1813,0.001046248,5.45e-07,8.617348685,7.923572947,0.093660579,1.087558446,11.87158475,1.984745985,16.54092157,26.38499639,0.1083,0.0437,Bambusa,Bambusa emeiensis 
1,649,684,1379,0.002826913,2.09e-06,7.250711821,4.476551482,0.227623269,1.619709245,9.157788512,1.888355724,11.72726326,20.97062649,0.0828,0.0315,Bambusa,Bambusa emeiensis 
1,770,777,1592,0.000760507,2.77e-07,7.252626836,6.494184576,0.108251103,1.116787913,10.45393659,1.848361972,13.74681139,23.44950919,0.0922,0.0392,Bambusa,Bambusa emeiensis 
1,629,724,1383,0.000989678,2.18e-07,5.048283717,6.037753543,0.191121788,0.83611954,9.036142172,1.766754562,11.08603725,20.42682935,0.08,0.0324,Bambusa,Bambusa emeiensis 
1,838,819,1953,0.001640863,7.42e-07,9.727659566,11.36852283,0.12960299,0.855666098,13.16404499,2.27011831,21.09618236,29.40433758,0.1429,0.0588,Bambusa,Bambusa emeiensis 
1,1021,1064,2276,0.0008644,2.48e-07,12.27094382,12.77824467,0.076671343,0.960299645,15.08366606,2.290136139,25.04918847,33.37965315,0.1788,0.0699,Bambusa,Bambusa emeiensis 
1,734,990,1804,0.003284045,3.95e-06,10.98619941,9.438283299,0.286303153,1.164003989,11.74232151,2.57662902,20.42448267,26.91963125,0.151,0.0606,Bambusa,Bambusa emeiensis 
