Species,beta,alpha,sd.beta,sd.alpha,lci.beta,uci.beta,lci.alpha,uci.alpha,RSS,r2,N
1,-6.226127906,1.101177064,0.073708076,0.02518112,-6.374924393,-6.094486967,1.056800732,1.151738454,0.587669185,0.9430009,99
2,-6.043875083,1.132956952,0.081016303,0.033752906,-6.211075593,-5.891367919,1.069855913,1.203295503,2.387686039,0.886067909,90
3,-5.88559884,1.090441605,0.062256096,0.023894169,-6.015132764,-5.764228605,1.044579006,1.14014046,1.736763049,0.907196435,100
4,-5.882537682,1.120668807,0.069852909,0.028823212,-6.022912464,-5.752170785,1.066464181,1.179092379,1.249415204,0.929115225,97
5,-5.336196441,1.035618084,0.061249894,0.025950998,-5.453396463,-5.215393811,0.984611439,1.084754907,0.513468165,0.950673028,93
6,-5.560184142,1.061708224,0.091787527,0.036388128,-5.744407045,-5.389467359,0.993767179,1.134852931,1.0525302,0.908660943,97
7,-5.545957021,1.106806769,0.099223712,0.029590954,-5.730983355,-5.343858371,1.046138636,1.161853345,0.53447457,0.96040048,98
8,-5.924039545,1.120483131,0.028517941,0.012976296,-5.980622485,-5.870225895,1.09533185,1.145724236,0.292976282,0.98464531,100
9,-5.528286413,1.013847491,0.054268352,0.025020023,-5.636855534,-5.425802838,0.967970828,1.064374727,0.888688903,0.933234575,95
10,-5.987619297,1.111458102,0.073515843,0.031065491,-6.148880361,-5.856985934,1.055676838,1.177809436,0.687841122,0.949264289,99
11,-5.873831846,1.029937695,0.054254226,0.02384893,-5.97588809,-5.766191947,0.981703586,1.073558826,0.698318304,0.938559621,100
12,-6.021439038,1.122580957,0.075840273,0.023081377,-6.188416377,-5.893392334,1.082746762,1.173391357,0.591686449,0.965654682,98
13,-5.730880886,1.013118861,0.053240021,0.017867544,-5.835524693,-5.62517741,0.977920822,1.048029148,0.794450894,0.955949532,97
14,-5.656764286,1.026256144,0.057330599,0.019758987,-5.772591398,-5.548787406,0.98898895,1.066880235,0.755001822,0.96302862,98
15,-5.497886893,1.019752336,0.065405149,0.018977505,-5.623034718,-5.36365987,0.98102704,1.056625377,0.960740289,0.949120938,100
16,-6.010764688,1.071231017,0.059801172,0.025181036,-6.127120278,-5.888742318,1.019985347,1.120096273,0.705359425,0.933678292,97
17,-5.422711327,1.050406005,0.061880302,0.018625974,-5.537191735,-5.29637371,1.012951136,1.085347599,0.587118648,0.959416062,104
18,-6.715442549,1.238306824,0.253675428,0.055788553,-7.242151413,-6.241367591,1.133926544,1.353197134,3.431564989,0.802112327,98
19,-6.143709153,1.133349209,0.207889489,0.04505183,-6.564654927,-5.748594322,1.047125168,1.22515094,2.075142068,0.841616208,91
20,-6.055857385,1.151893693,0.233141351,0.050442816,-6.54953252,-5.625672954,1.059401657,1.258609488,2.555481339,0.856804633,101
